,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Balkon Durumu,WC Sayısı,Fiyat Durumu,Price,Location,link,Eşya Durumu,Ada,Parsel,Balkon Sayısı,Balkon Tipi,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
337,17258124,01 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,35 m²,40 m²,Stüdyo,16-20,Bahçe Katı,6,Isıtma Yok,Boş,İkinci El,,,Hisseli Tapu,Hayır,7000 TL,,1,Yok,1,Genel Fiyat,7.000TL, Küçükçekmece - Mehmet Akif Mahallesi,https://www.emlakjet.com//ilan/emir-emlak-dan-10-bahce-kat-bos-daire-bekara-uygun-malofistanbula-yakin-17258124/,,137,5,,,,35 m²,,35 m²,35 m²
338,17258030,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,Betonarme,,Kat Mülkiyeti,Hayır,,,1,Var,,Genel Fiyat,33.500TL, Kağıthane - Emniyet Evleri Mahallesi,https://www.emlakjet.com//ilan/4-levent-metroya-4-dk-21-kiralik-daire-artum-dan-17258030/,Boş,8817,1,,,Hayır,,,,
339,17257925,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,115 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,7,Kombi Doğalgaz,Boş,İkinci El,Betonarme,500 TL,Arsa Tapulu,Hayır,30000 TL,Yok,1,Var,2,Genel Fiyat,30.000TL, Kartal - Atalar Mahallesi,https://www.emlakjet.com//ilan/atalarin-merkezinde-genis-kullanisli-31-17257925/,Boş,11440,45,,,,,,,
340,17257534,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,5-10,3.Kat,5,Kombi Doğalgaz,Kiracı Oturuyor,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,35.000TL, Üsküdar - Cumhuriyet Mahallesi,https://www.emlakjet.com//ilan/libadiye-cd-metro-ve-emar-yakini-arakat-2-1-kiralik-daire-17257534/,Boş,,,,,,,,,
341,17257491,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,100 m²,110 m²,2.5+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,34.500TL, Beşiktaş - Türkali Mahallesi,https://www.emlakjet.com//ilan/bjk-akaretlere-cok-yakin-2-51-kombili-balkonlu-ferah-daire-17257491/,Boş,,,,,,,,,
342,17257357,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,,,0 TL,Tapu Kaydı Yok,Hayır,21000 TL,,1,Var,,Genel Fiyat,21.000TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/balci-dan-31-2-kat-yabanciyada-uygun-cebeci-17257357/,,,,2,Kapalı Balkon,,,,,
343,17257181,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,130 m²,150 m²,3+2,21 Ve Üzeri,5.Kat,6,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,4000 TL,Kat Mülkiyeti,Hayır,,Yok,2,,,Genel Fiyat,125.000TL, Beşiktaş - Etiler Mahallesi,https://www.emlakjet.com//ilan/besiktas-etiler-nispetiyede-3-51-kiralik-daire-troykadan-17257181/,,41,45,,,,,,,
344,17257140,01 Mayıs 2025,03 Mayıs 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,11-15,Bahçe Katı,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,,1,,,Genel Fiyat,23.500TL, Gaziosmanpaşa - Bağlarbaşı Mahallesi,https://www.emlakjet.com//ilan/gaziosmanpasa-merkezde-esyali-veya-esyasiz-kiralik-daire-17257140/,,1491,8,,,,,,,
345,17257036,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,95 m²,110 m²,3+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,İkinci El,Betonarme,4000 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,79.000TL, Beşiktaş - Kültür Mahallesi,https://www.emlakjet.com//ilan/kiralik-ulus-gazete-muhabirleri-sitesi-nde-31-daire-17257036/,,,,,,,,,,
346,17257009,01 Mayıs 2025,02 Mayıs 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,0 (Yeni),4.Kat,5,Kombi Doğalgaz,Boş,,,0 TL,Kooperatiften Tapu,Hayır,26000 TL,,1,Var,,Genel Fiyat,26.000TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/baykal-ins-cebeci-mah-kiralik-yeni-daire-17257009/,,,,1,,,,,,
347,17256859,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,2.Kat,6,Kombi Doğalgaz,Boş,,,1000 TL,Kat Mülkiyeti,Hayır,50000 TL,,1,Var,1,Genel Fiyat,45.000TL, Şişli - Merkez Mahallesi,https://www.emlakjet.com//ilan/halaskargazi-caddesi-uzerinde-21-2-katta-ofise-konuta-uygun-17256859/,Boş,1010,116,,,Evet,,,,
348,17256736,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,,,,Yabancıdan,Hayır,,,1,,,Genel Fiyat,29.000TL, Küçükçekmece - İnönü Mahallesi,https://www.emlakjet.com//ilan/seba-dan-inonu-mh-21-95m2-yeni-binada-temiz-kiralik-1-kat-daire-17256736/,,,,,,,,,,
349,17256702,01 Mayıs 2025,02 Mayıs 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,3.Kat,5,Doğalgaz Sobalı,Boş,,,100 TL,Müstakil Tapulu,Evet,15000 TL,,1,Var,,Genel Fiyat,12.000TL, Başakşehir - Şahintepe Mahallesi,https://www.emlakjet.com//ilan/kiralik-daire-17256702/,,1796,6,1,Açık Balkon,,,8 m²,,
350,17256688,01 Mayıs 2025,03 Mayıs 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),Bahçe Katı,4,Kombi Doğalgaz,Boş,Sıfır,Betonarme,500 TL,Kat Mülkiyeti,Hayır,27000 TL,Yok,1,Var,1,Genel Fiyat,27.000TL, Üsküdar - Valide,https://www.emlakjet.com//ilan/as-emlak-tan-11-sifir-binada-metroya-yakin-bahce-terasli-daire-17256688/,Boş,396,3,1,Açık Teras,Evet,,,,
351,17256557,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Mülk Sahibi Oturuyor,İkinci El,Betonarme,,Kat Mülkiyeti,Hayır,,,1,Var,,Genel Fiyat,25.000TL, Fatih - Şehremini Mahallesi,https://www.emlakjet.com//ilan/capa-merkez-de-aile-apartmanin-da-kiralik-daire-lutfen-aciklamayi-okuyun-17256557/,Boş,1468,43,1,Kapalı Balkon,Hayır,,,,
352,17256552,01 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,21 Ve Üzeri,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,İkinci El,Yığma,0 TL,Kat Mülkiyeti,Hayır,32000 TL,,2,Yok,2,Genel Fiyat,32.000TL, Fatih - Haseki Sultan Mahallesi,https://www.emlakjet.com//ilan/cerrahpasada-31-esyali-kiralik-daire-17256552/,Eşyalı,1129,22,,,Hayır,,,,
353,17256039,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,22.500TL, Eyüpsultan - İslambey Mahallesi,https://www.emlakjet.com//ilan/islambey-mah-hz-halid-bulvarinda-21-85-m2-arakat-kiralik-daire-17256039/,Boş,,,,,,,,,
354,17256038,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,2,,,Genel Fiyat,27.500TL, Ataşehir - Kayışdağı Mahallesi,https://www.emlakjet.com//ilan/universite-200m-mesafede-katta-tek-balkonlu-somineli-genis-31-17256038/,Boş,,,,,,,,,
355,17256030,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,4,2.Kat,3,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,,,,Kat Mülkiyeti,Evet,,Yok,2,,,Genel Fiyat,50.000TL, Beylikdüzü - Marmara Mahallesi,https://www.emlakjet.com//ilan/beylikduzu-in-mari-sitesinde-esyali-kiralik-21-17256030/,Eşyalı,,,,,,,,,
356,17256029,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,5-10,Düz Giriş (Zemin),6,Kombi Doğalgaz,Mülk Sahibi Oturuyor,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,12.500TL, Esenyurt - Mehterçeşme Mahallesi,https://www.emlakjet.com//ilan/mehtercesmede-esyali-kiralik-daire-17256029/,Boş,,,,,,,,,
357,17256028,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,130 m²,165 m²,3+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,Yok,1,,,Genel Fiyat,27.500TL, Avcılar - Denizköşkler Mahallesi,https://www.emlakjet.com//ilan/ebat-tan-avcilarda-31-oto-parkli-kiralik-daire-17256028/,Boş,,,,,,,,,
358,17256004,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,25.900TL, Eyüpsultan - Çırçır Mahallesi,https://www.emlakjet.com//ilan/ful-manzarali-alibeykoy-circir-metro-200metre-ful-esyali-daire-17256004/,Eşyalı,,,,,,,,,
359,17255955,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,75 m²,95 m²,2+1,5-10,11.Kat,15,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,41.000TL, Ümraniye - Tatlısu Mahallesi,https://www.emlakjet.com//ilan/onem-gayrimenkul-den-finans-merkezine-komsu-21-recidance-daire-17255955/,Boş,,,,,,,,,
360,17255950,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,İkinci El,Betonarme,150 TL,Tapu Kaydı Yok,Hayır,35000 TL,,1,Var,2,Genel Fiyat,35.000TL, Sarıyer - İstinye Mahallesi,https://www.emlakjet.com//ilan/istinyede-ful-esyali-kiralik-21-daire-17255950/,Eşyalı,,,1,,Hayır,,,,
361,17255897,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,125 m²,150 m²,3+1,21 Ve Üzeri,Yüksek Giriş,6,Merkezi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,,2,,,Genel Fiyat,55.000TL, Kadıköy - Göztepe Mahallesi,https://www.emlakjet.com//ilan/ciftehavuzlar-da-caddeye-yakin-genis-kiralik-31-daire-17255897/,,410,26,,,,,,,
362,17255816,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,77 m²,80 m²,1+1,16-20,3.Kat,9,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,20.000TL, Büyükçekmece - Ekinoba Mahallesi,https://www.emlakjet.com//ilan/candemir-den-ekinoba-batica-da-kiralik-11-daire-17255816/,Boş,,,,,,,,,
363,17255803,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,30 m²,40 m²,Stüdyo,5-10,6.Kat,9,Merkezi (Pay Ölçer),Boş,,,,Tapu Kaydı Yok,Hayır,,Yok,1,,,Genel Fiyat,22.000TL, Ataşehir - Aşıkveysel Mahallesi,https://www.emlakjet.com//ilan/atasehir-de-mobilyali-10-studyo-daire-17255803/,Eşyalı,,,,,,,,,
364,17255701,01 Mayıs 2025,02 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,1.5+1,16-20,Yüksek Giriş,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,100 TL,Arsa Tapulu,Hayır,14000 TL,,1,Yok,,Birim Fiyat,14.000TL, Esenyurt - Yunus Emre Mahallesi,https://www.emlakjet.com//ilan/esyali-kiralik-daire-sahibinden-17255701/,Eşyalı,2109,65,,,Evet,8 m²,,,
365,17255681,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,21 Ve Üzeri,Bodrum Kat,4,Kombi Doğalgaz,Boş,,,,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,18.000TL, Fatih - Seyyid Ömer Mahallesi,https://www.emlakjet.com//ilan/murat-gayrimenkulden-merkezi-konumda-full-esyali-11-yari-bodrum-17255681/,Eşyalı,,,,,,,,,
366,17255613,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,25.000TL, Üsküdar - Zeynep Kamil Mahallesi,https://www.emlakjet.com//ilan/parlak-tan-merkez-e-yakin-21-genis-ici-bakimli-ara-kat-daire-17255613/,Boş,,,,,,,,,
367,17255588,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,70 m²,90 m²,2+1,21 Ve Üzeri,2.Kat,2,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,Yok,1,,,Genel Fiyat,15.500TL, Pendik - Sülüntepe Mahallesi,https://www.emlakjet.com//ilan/yasam-dan-suluntepe-de-caddeye-yakin-21-kiralik-daire-17255588/,Boş,,,,,,,,,
368,17255404,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,42.000TL, Sarıyer - Büyükdere Mahallesi,https://www.emlakjet.com//ilan/sariyer-buyukdere-de-bahceli-kiralik-daire-17255404/,Boş,,,,,,,,,
369,17255263,01 Mayıs 2025,04 Mayıs 2025,Konut,Kiralık,Daire,35 m²,40 m²,Stüdyo,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,24.000TL, Beşiktaş - Mecidiye Mahallesi,https://www.emlakjet.com//ilan/karadeniz-emlak-besiktas-ortakoy-de-full-esyali-hersey-dahil-studyo-kombili-17255263/,Eşyalı,210,20,,,,,,,
370,17255258,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,1.Kat,6,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,Yok,1,,,Genel Fiyat,32.000TL, Ataşehir - İçerenköy Mahallesi,https://www.emlakjet.com//ilan/icerenkoy-karakolu-arka-sokaginda-ici-yapili-31-daire-17255258/,Boş,,,,,,,,,
371,17255256,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,110 m²,135 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,35.000TL, Ataşehir - İçerenköy Mahallesi,https://www.emlakjet.com//ilan/100-icerenkoy-metroya-ve-okullara-yakin-31-boyali-4-3-kat-17255256/,Boş,,,,,,,,,
372,17255090,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,21 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,17.000TL, Üsküdar - Valide,https://www.emlakjet.com//ilan/uskudar-zeynep-kamil-de-21-kiralik-daire-17255090/,Boş,,,,,,,,,
373,17255076,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,0 (Yeni),1.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,39.250TL, Kartal - Cevizli Mahallesi,https://www.emlakjet.com//ilan/yeni-binada-adliye-ve-hastaneye-5-dk-21-sifir-daire-17255076/,Boş,,,,,,,,,
374,17255037,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,,,Hisseli Tapu,Hayır,,Yok,1,,,Genel Fiyat,18.500TL, Sultangazi - Esentepe Mahallesi,https://www.emlakjet.com//ilan/ulgen-ins-esentepe-mah-kiralik-esyali-3kat-17255037/,Eşyalı,,,,,,,,,
375,17254957,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,38.000TL, Maltepe - İdealtepe Mahallesi,https://www.emlakjet.com//ilan/tamis-den-idealtepe-sahilde-marmaraya-cok-yakin-genis-ferah-11-17254957/,Boş,,,,,,,,,
376,17254956,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,4,10.Kat,22,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,Yok,2,,,Genel Fiyat,57.000TL, Kadıköy - Fikirtepe Mahallesi,https://www.emlakjet.com//ilan/tamis-den-optimist-fikirtepe-rezidans-da-10-kat-manzarali-21-17254956/,Boş,,,,,,,,,
377,17254810,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,80 m²,95 m²,2+1,5-10,Bahçe Katı,5,Kombi Doğalgaz,Kiracı Oturuyor,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,29.000TL, Tuzla - İstasyon Mahallesi,https://www.emlakjet.com//ilan/tuzla-sahilde-guvenlikli-sitede-bahce-kati-21-genis-kiralik-17254810/,Boş,,,,,,,,,
378,17254800,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,20.000TL, Silivri - Alibey Mahallesi,https://www.emlakjet.com//ilan/alibeyde-esyali-kiralik-daire-17254800/,Eşyalı,,,,,,,,,
379,17254794,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,90 m²,105 m²,2+1,11-15,Kot 1 (-1).Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,32.000TL, Eyüpsultan - Güzeltepe Mahallesi,https://www.emlakjet.com//ilan/kyra-yapidan-full-esyali-metro-ve-tramvaya-5-dakikalik-mesafede-17254794/,Eşyalı,,,,,,,,,
380,17254575,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,75 m²,82 m²,2+1,0 (Yeni),2.Kat,9,Kat Kaloriferi,Boş,,,,Kat İrtifakı,Evet,,Yok,1,,,Genel Fiyat,24.000TL, Sultangazi - Eski Habipler Mahallesi,https://www.emlakjet.com//ilan/eski-habipler-mahallesi-nde-sitede-kiralik-daire-17254575/,Boş,,,,,,,,,
381,17254562,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,85 m²,117 m²,3+1,11-15,29.Kat,30,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,66.000TL, Ataşehir - Atatürk Mahallesi,https://www.emlakjet.com//ilan/atasehir-my-towerland-kiralik-31-esyali-bakimli-daire-17254562/,Eşyalı,,,,,,,,,
382,17254554,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,2,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,12.000TL, Silivri - Mimar Sinan Mahallesi,https://www.emlakjet.com//ilan/kiralik-11-kapali-mutfak-17254554/,Boş,,,,,,,,,
383,17254333,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,5-10,6.Kat,9,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,28.000TL, Beylikdüzü - Barış Mahallesi,https://www.emlakjet.com//ilan/west-side-kiralik-11-balkonlu-koru-manzarali-ve-bos-daire-17254333/,Boş,,,,,,,,,
384,17254180,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,300 m²,350 m²,4+1,5-10,3.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,,,,Kat Mülkiyeti,Evet,,Yok,4,,,Genel Fiyat,400.000TL, Beykoz - Acarlar Mahallesi,https://www.emlakjet.com//ilan/acar-vadi-evleri-41-teras-kullanimli-esyali-kiralik-daire-17254180/,Eşyalı,,,,,,,,,
385,17254151,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,39 m²,45 m²,1+1,21 Ve Üzeri,Yüksek Giriş,4,Isıtma Yok,Boş,İkinci El,Betonarme,,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,14.000TL, Şişli - İzzet Paşa Mahallesi,https://www.emlakjet.com//ilan/hulya-emlak-tan-10-esyali-kiralik-daire-17254151/,Eşyalı,,,,,,,,,
386,17254113,01 Mayıs 2025,01 Mayıs 2025,Konut,Kiralık,Daire,55 m²,75 m²,2+1,11-15,Düz Giriş (Zemin),14,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,18.000TL, Silivri - Yeni Mahallesi,https://www.emlakjet.com//ilan/silivri-kiptas-2-esyali-kiralik-daire-17254113/,Eşyalı,,,,,,,,,
387,17254087,30 Nisan 2025,04 Mayıs 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,4,3.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,25000 TL,,1,Var,,Genel Fiyat,25.000TL, Bağcılar - Yavuz Selim Mahallesi,https://www.emlakjet.com//ilan/bagcilar-yavuzselimde-21-kiralik-daire-yeni-daire-17254087/,,,,,,,,,,
388,17254039,30 Nisan 2025,01 Mayıs 2025,Konut,Kiralık,Daire,75 m²,88 m²,2+1,4,2.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,26.500TL, Çekmeköy - Merkez Mahallesi,https://www.emlakjet.com//ilan/cekmekoy-merkez-mah-kiralik-21-daire-17254039/,Boş,,,,,,,,,
389,17206416,23 Nisan 2025,23 Nisan 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,6.Kat,7,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,Yok,1,,,Genel Fiyat,29.000TL, Gaziosmanpaşa - Merkez Mahallesi,https://www.emlakjet.com//ilan/molla-team-den-g-o-p-da-hastane-yani-31-120-m2-kiralik-daire-17206416/,Boş,,,,,,,,,
390,17195303,22 Nisan 2025,22 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,28.000TL, Beyoğlu - Şehit Muhtar Mahallesi,https://www.emlakjet.com//ilan/taksim-meydan-temiz-ful-esyali-70m2-net-bakimli-kiralik-daire-17195303/,Eşyalı,,,,,,,,,
391,17177929,18 Nisan 2025,18 Nisan 2025,Konut,Kiralık,Daire,100 m²,110 m²,2.5+1,21 Ve Üzeri,4.Kat,6,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,35.000TL, Beşiktaş - Sinanpaşa Mahallesi,https://www.emlakjet.com//ilan/bjk-akaretlere-cok-yakin-2-51-kombili-balkonlu-temiz-ferahdaire-17177929/,Boş,,,,,,,,,
392,17114727,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,2,6.Kat,6,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,25.000TL, Şişli - Mecidiyeköy Mahallesi,https://www.emlakjet.com//ilan/cadde-uzeri-ful-esyali-11-genis-daire-yeni-bina-otoparkli-17114727/,Eşyalı,,,,,,,,,
393,17036822,18 Mart 2025,18 Mart 2025,Konut,Kiralık,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,Kot 1 (-1).Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,1,,,Genel Fiyat,47.000TL, Kadıköy - Koşuyolu Mahallesi,https://www.emlakjet.com//ilan/kosuyolu-ibrahimaga-da-marmaray-a-kapi-komsu-kiralik-31-daire-17036822/,,,,,,,,,,
394,16996515,11 Mart 2025,11 Mart 2025,Konut,Kiralık,Daire,55 m²,70 m²,1+1,11-15,4.Kat,7,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,Yok,1,,,Genel Fiyat,26.500TL, Pendik - Yenişehir Mahallesi,https://www.emlakjet.com//ilan/dumankaya-trend-sitesi-nde-70-m2-11-esyali-kiralik-daire-16996515/,Eşyalı,,,,,,,,,
395,16967521,07 Mart 2025,07 Mart 2025,Konut,Kiralık,Daire,88 m²,105 m²,2+1,5-10,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Betonarme,250 TL,Bilinmiyor,Hayır,,Yok,1,,,Genel Fiyat,18.000TL, Sancaktepe - Osmangazi Mahallesi,https://www.emlakjet.com//ilan/sancaktepe-samandira-osmangazi-mh-kiraik-ters-dubleks-16967521/,,,,,,,,,,
396,16957962,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,118 m²,170 m²,3+1,0 (Yeni),Bahçe Katı,4,Yerden Isıtma,Boş,,,,Tapu Kaydı Yok,Evet,,Yok,2,,,Genel Fiyat,60.000TL, Başakşehir - Bahçeşehir 2. Kısım Mahallesi,https://www.emlakjet.com//ilan/vadi-evleri-1-etap-ozel-bahceli-kiralik-31-daire-16957962/,Boş,,,,,,,,,
